Year,County,value
2014,United States,181200
2015,United States,194500
2016,United States,205000
2017,United States,217600
2018,United States,229700
2019,United States,240500
2020,United States,229800
2021,United States,281400
2022,United States,320900
2023,United States,340200
2024,United States,360600
2014,Hillsborough County,164200
2015,Hillsborough County,183000
2016,Hillsborough County,195800
2017,Hillsborough County,213600
2018,Hillsborough County,232500
2019,Hillsborough County,244100
2020,Hillsborough County,233200
2021,Hillsborough County,300200
2022,Hillsborough County,366900
2023,Hillsborough County,396200
2024,Hillsborough County,420000
2014,Pasco County,123900
2015,Pasco County,137700
2016,Pasco County,145000
2017,Pasco County,161500
2018,Pasco County,174500
2019,Pasco County,192200
2020,Pasco County,173900
2021,Pasco County,235200
2022,Pasco County,306500
2023,Pasco County,337700
2024,Pasco County,341500
2014,Pinellas County,150900
2015,Pinellas County,170500
2016,Pinellas County,186500
2017,Pinellas County,197300
2018,Pinellas County,215800
2019,Pinellas County,231400
2020,Pinellas County,219800
2021,Pinellas County,292200
2022,Pinellas County,359400
2023,Pinellas County,382400
2024,Pinellas County,398400
2014,Polk County,105400
2015,Polk County,123100
2016,Polk County,135300
2017,Polk County,153700
2018,Polk County,161300
2019,Polk County,175400
2020,Polk County,162400
2021,Polk County,212500
2022,Polk County,267500
2023,Polk County,296300
2024,Polk County,305400
