Year,County,value
2014,United States,53657
2015,United States,55775
2016,United States,57617
2017,United States,60336
2018,United States,61937
2019,United States,65712
2020,United States,65712
2021,United States,69717
2022,United States,74755
2023,United States,77719
2024,United States,81604
2014,Hillsborough County,50796
2015,Hillsborough County,51725
2016,Hillsborough County,54588
2017,Hillsborough County,54731
2018,Hillsborough County,58480
2019,Hillsborough County,61154
2020,Hillsborough County,61154
2021,Hillsborough County,65905
2022,Hillsborough County,74308
2023,Hillsborough County,76687
2024,Hillsborough County,85183
2014,Pasco County,45349
2015,Pasco County,46133
2016,Pasco County,46264
2017,Pasco County,51347
2018,Pasco County,54208
2019,Pasco County,55828
2020,Pasco County,55828
2021,Pasco County,59470
2022,Pasco County,65999
2023,Pasco County,72317
2024,Pasco County,72335
2014,Pinellas County,45152
2015,Pinellas County,47618
2016,Pinellas County,50036
2017,Pinellas County,51512
2018,Pinellas County,52198
2019,Pinellas County,56737
2020,Pinellas County,56737
2021,Pinellas County,61947
2022,Pinellas County,66472
2023,Pinellas County,70768
2024,Pinellas County,73832
2014,Polk County,42780
2015,Polk County,44061
2016,Polk County,46355
2017,Polk County,48475
2018,Polk County,51670
2019,Polk County,51833
2020,Polk County,51833
2021,Polk County,56379
2022,Polk County,62051
2023,Polk County,66909
2024,Polk County,66779
