Bracket,Year,burden_category,County,value
Total,2014,,Hillsborough County,207582
Less than 10.0 percent,2014,not_burdened,Hillsborough County,5563
10.0 to 14.9 percent,2014,not_burdened,Hillsborough County,13868
15.0 to 19.9 percent,2014,not_burdened,Hillsborough County,23778
20.0 to 24.9 percent,2014,not_burdened,Hillsborough County,26209
25.0 to 29.9 percent,2014,not_burdened,Hillsborough County,24169
30.0 to 34.9 percent,2014,burdened,Hillsborough County,16609
35.0 to 39.9 percent,2014,burdened,Hillsborough County,14144
40.0 to 49.9 percent,2014,burdened,Hillsborough County,19944
50.0 percent or more,2014,burdened,Hillsborough County,53219
Not computed,2014,not_computed,Hillsborough County,10079
Total,2015,,Hillsborough County,216517
Less than 10.0 percent,2015,not_burdened,Hillsborough County,6494
10.0 to 14.9 percent,2015,not_burdened,Hillsborough County,12962
15.0 to 19.9 percent,2015,not_burdened,Hillsborough County,26290
20.0 to 24.9 percent,2015,not_burdened,Hillsborough County,25448
25.0 to 29.9 percent,2015,not_burdened,Hillsborough County,23399
30.0 to 34.9 percent,2015,burdened,Hillsborough County,21276
35.0 to 39.9 percent,2015,burdened,Hillsborough County,15149
40.0 to 49.9 percent,2015,burdened,Hillsborough County,21030
50.0 percent or more,2015,burdened,Hillsborough County,51668
Not computed,2015,not_computed,Hillsborough County,12801
Total,2016,,Hillsborough County,221635
Less than 10.0 percent,2016,not_burdened,Hillsborough County,5424
10.0 to 14.9 percent,2016,not_burdened,Hillsborough County,14629
15.0 to 19.9 percent,2016,not_burdened,Hillsborough County,26866
20.0 to 24.9 percent,2016,not_burdened,Hillsborough County,31150
25.0 to 29.9 percent,2016,not_burdened,Hillsborough County,24328
30.0 to 34.9 percent,2016,burdened,Hillsborough County,18409
35.0 to 39.9 percent,2016,burdened,Hillsborough County,16623
40.0 to 49.9 percent,2016,burdened,Hillsborough County,19603
50.0 percent or more,2016,burdened,Hillsborough County,51430
Not computed,2016,not_computed,Hillsborough County,13173
Total,2017,,Hillsborough County,219239
Less than 10.0 percent,2017,not_burdened,Hillsborough County,5426
10.0 to 14.9 percent,2017,not_burdened,Hillsborough County,14038
15.0 to 19.9 percent,2017,not_burdened,Hillsborough County,24081
20.0 to 24.9 percent,2017,not_burdened,Hillsborough County,26137
25.0 to 29.9 percent,2017,not_burdened,Hillsborough County,25943
30.0 to 34.9 percent,2017,burdened,Hillsborough County,20906
35.0 to 39.9 percent,2017,burdened,Hillsborough County,13153
40.0 to 49.9 percent,2017,burdened,Hillsborough County,19565
50.0 percent or more,2017,burdened,Hillsborough County,55801
Not computed,2017,not_computed,Hillsborough County,14189
Total,2018,,Hillsborough County,226280
Less than 10.0 percent,2018,not_burdened,Hillsborough County,5609
10.0 to 14.9 percent,2018,not_burdened,Hillsborough County,13676
15.0 to 19.9 percent,2018,not_burdened,Hillsborough County,26003
20.0 to 24.9 percent,2018,not_burdened,Hillsborough County,28972
25.0 to 29.9 percent,2018,not_burdened,Hillsborough County,26254
30.0 to 34.9 percent,2018,burdened,Hillsborough County,19791
35.0 to 39.9 percent,2018,burdened,Hillsborough County,16059
40.0 to 49.9 percent,2018,burdened,Hillsborough County,21092
50.0 percent or more,2018,burdened,Hillsborough County,56506
Not computed,2018,not_computed,Hillsborough County,12318
Total,2019,,Hillsborough County,217313
Less than 10.0 percent,2019,not_burdened,Hillsborough County,5174
10.0 to 14.9 percent,2019,not_burdened,Hillsborough County,14475
15.0 to 19.9 percent,2019,not_burdened,Hillsborough County,24790
20.0 to 24.9 percent,2019,not_burdened,Hillsborough County,27712
25.0 to 29.9 percent,2019,not_burdened,Hillsborough County,25874
30.0 to 34.9 percent,2019,burdened,Hillsborough County,19004
35.0 to 39.9 percent,2019,burdened,Hillsborough County,13083
40.0 to 49.9 percent,2019,burdened,Hillsborough County,20650
50.0 percent or more,2019,burdened,Hillsborough County,52217
Not computed,2019,not_computed,Hillsborough County,14334
Total,2020,,Hillsborough County,219877
Less than 10.0 percent,2020,not_burdened,Hillsborough County,5346
10.0 to 14.9 percent,2020,not_burdened,Hillsborough County,13359
15.0 to 19.9 percent,2020,not_burdened,Hillsborough County,25479
20.0 to 24.9 percent,2020,not_burdened,Hillsborough County,28414
25.0 to 29.9 percent,2020,not_burdened,Hillsborough County,25324
30.0 to 34.9 percent,2020,burdened,Hillsborough County,19973
35.0 to 39.9 percent,2020,burdened,Hillsborough County,15736
40.0 to 49.9 percent,2020,burdened,Hillsborough County,20316
50.0 percent or more,2020,burdened,Hillsborough County,53288
Not computed,2020,not_computed,Hillsborough County,12642
Total,2021,,Hillsborough County,226117
Less than 10.0 percent,2021,not_burdened,Hillsborough County,3865
10.0 to 14.9 percent,2021,not_burdened,Hillsborough County,13152
15.0 to 19.9 percent,2021,not_burdened,Hillsborough County,23114
20.0 to 24.9 percent,2021,not_burdened,Hillsborough County,26911
25.0 to 29.9 percent,2021,not_burdened,Hillsborough County,25294
30.0 to 34.9 percent,2021,burdened,Hillsborough County,21187
35.0 to 39.9 percent,2021,burdened,Hillsborough County,15319
40.0 to 49.9 percent,2021,burdened,Hillsborough County,20142
50.0 percent or more,2021,burdened,Hillsborough County,65263
Not computed,2021,not_computed,Hillsborough County,11870
Total,2022,,Hillsborough County,225878
Less than 10.0 percent,2022,not_burdened,Hillsborough County,3960
10.0 to 14.9 percent,2022,not_burdened,Hillsborough County,14364
15.0 to 19.9 percent,2022,not_burdened,Hillsborough County,19796
20.0 to 24.9 percent,2022,not_burdened,Hillsborough County,27088
25.0 to 29.9 percent,2022,not_burdened,Hillsborough County,25893
30.0 to 34.9 percent,2022,burdened,Hillsborough County,21602
35.0 to 39.9 percent,2022,burdened,Hillsborough County,17575
40.0 to 49.9 percent,2022,burdened,Hillsborough County,20908
50.0 percent or more,2022,burdened,Hillsborough County,60238
Not computed,2022,not_computed,Hillsborough County,14454
Total,2023,,Hillsborough County,233009
Less than 10.0 percent,2023,not_burdened,Hillsborough County,5099
10.0 to 14.9 percent,2023,not_burdened,Hillsborough County,10891
15.0 to 19.9 percent,2023,not_burdened,Hillsborough County,17241
20.0 to 24.9 percent,2023,not_burdened,Hillsborough County,24703
25.0 to 29.9 percent,2023,not_burdened,Hillsborough County,30472
30.0 to 34.9 percent,2023,burdened,Hillsborough County,23784
35.0 to 39.9 percent,2023,burdened,Hillsborough County,18788
40.0 to 49.9 percent,2023,burdened,Hillsborough County,23145
50.0 percent or more,2023,burdened,Hillsborough County,67234
Not computed,2023,not_computed,Hillsborough County,11652
Total,2024,,Hillsborough County,234064
Less than 10.0 percent,2024,not_burdened,Hillsborough County,4749
10.0 to 14.9 percent,2024,not_burdened,Hillsborough County,9474
15.0 to 19.9 percent,2024,not_burdened,Hillsborough County,17183
20.0 to 24.9 percent,2024,not_burdened,Hillsborough County,26186
25.0 to 29.9 percent,2024,not_burdened,Hillsborough County,27113
30.0 to 34.9 percent,2024,burdened,Hillsborough County,24480
35.0 to 39.9 percent,2024,burdened,Hillsborough County,15541
40.0 to 49.9 percent,2024,burdened,Hillsborough County,26908
50.0 percent or more,2024,burdened,Hillsborough County,70796
