Year,County,value
2014,United States,934
2015,United States,959
2016,United States,981
2017,United States,1012
2018,United States,1058
2019,United States,1097
2020,United States,1096
2021,United States,1191
2022,United States,1300
2023,United States,1406
2024,United States,1487
2014,Hillsborough County,963
2015,Hillsborough County,990
2016,Hillsborough County,1075
2017,Hillsborough County,1100
2018,Hillsborough County,1161
2019,Hillsborough County,1186
2020,Hillsborough County,1186
2021,Hillsborough County,1334
2022,Hillsborough County,1529
2023,Hillsborough County,1757
2024,Hillsborough County,1807
2014,Pasco County,943
2015,Pasco County,948
2016,Pasco County,985
2017,Pasco County,1013
2018,Pasco County,1075
2019,Pasco County,1077
2020,Pasco County,1093
2021,Pasco County,1195
2022,Pasco County,1377
2023,Pasco County,1540
2024,Pasco County,1749
2014,Pinellas County,964
2015,Pinellas County,974
2016,Pinellas County,988
2017,Pinellas County,1061
2018,Pinellas County,1119
2019,Pinellas County,1182
2020,Pinellas County,1165
2021,Pinellas County,1276
2022,Pinellas County,1479
2023,Pinellas County,1776
2024,Pinellas County,1752
2014,Polk County,876
2015,Polk County,890
2016,Polk County,889
2017,Polk County,938
2018,Polk County,961
2019,Polk County,998
2020,Polk County,1014
2021,Polk County,1110
2022,Polk County,1206
2023,Polk County,1403
2024,Polk County,1484
