"Label (Grouping)","Hillsborough County, Florida!!Estimate","Hillsborough County, Florida!!Margin of Error","Pasco County, Florida!!Estimate","Pasco County, Florida!!Margin of Error","Pinellas County, Florida!!Estimate","Pinellas County, Florida!!Margin of Error","Polk County, Florida!!Estimate","Polk County, Florida!!Margin of Error"
"Total:","226,117","±6,235","56,859","±3,812","124,129","±4,621","84,838","±4,886"
"    Less than 10.0 percent","3,865","±1,335","1,261","±613","2,632","±938","1,817","±849"
"    10.0 to 14.9 percent","13,152","±2,387","3,429","±1,285","5,287","±1,194","8,987","±2,052"
"    15.0 to 19.9 percent","23,114","±2,573","4,393","±1,422","10,973","±1,756","9,187","±2,045"
"    20.0 to 24.9 percent","26,911","±3,252","5,954","±1,428","14,205","±1,995","8,922","±2,107"
"    25.0 to 29.9 percent","25,294","±3,302","7,520","±1,569","16,135","±2,451","8,471","±2,093"
"    30.0 to 34.9 percent","21,187","±2,899","5,354","±1,311","13,705","±2,225","7,798","±1,844"
"    35.0 to 39.9 percent","15,319","±2,575","4,505","±1,543","10,007","±2,072","4,964","±1,152"
"    40.0 to 49.9 percent","20,142","±3,201","4,986","±1,236","12,416","±1,945","6,242","±1,672"
"    50.0 percent or more","65,263","±4,483","15,007","±2,415","31,299","±2,987","21,078","±3,065"
"    Not computed","11,870","±2,590","4,450","±1,066","7,470","±1,823","7,372","±1,268"
